date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-02,ME,0,1.3538152316264591,1.347229429390692,1.1350227347327486,1.5380809687690722,68.71935749138483,0.0,0.0,0.0,0.0,,,
2020-03-03,ME,1,1.347466305026201,1.33956959481903,1.127512325508936,1.5140197930629775,0.6664052324527796,0.0,0.0,0.0,0.0,,,
2020-03-04,ME,2,1.3431125013868783,1.3366601461181735,1.1309941569112667,1.5020898880097635,9.447788315085095,0.0,0.0,0.0,0.0,,,
2020-03-05,ME,3,1.3384066952241482,1.3342575499673766,1.1292109538431985,1.4807861024354818,17.922688631600547,0.0,0.0,0.0,0.0,,,
2020-03-06,ME,4,1.3300897010358474,1.329534272189061,1.1524068685248272,1.4866680164782151,19.26817926372848,0.0,0.0,0.0,0.0,,,
2020-03-07,ME,5,1.3221890309632744,1.3225617239669274,1.1403789688879884,1.464793163353951,19.16866375238394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,ME,6,1.3137374864124007,1.3115055780492684,1.1496224437949705,1.4541294867741248,19.987199475248804,4.945022824616419,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,ME,7,1.3040155935826407,1.2976691460159384,1.1393272473055136,1.4373134390191789,21.23431399704932,7.683842401046674,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,ME,8,1.2884128584123309,1.2843053518084104,1.1408174402241098,1.4135073105816935,22.459147900580245,9.310668223070179,0.0,0.0,0.0,19.0,0.0,0.0
2020-03-11,ME,9,1.2746082119333657,1.2684305488674592,1.1336745997639264,1.3894440052217782,23.652364555957064,10.679834813635756,0.0,0.0,0.0,22.0,0.0,0.0
2020-03-12,ME,10,1.2603415279282495,1.2592156519631963,1.1380279022177924,1.3799491744019856,24.86466044709409,12.42239726009293,2.1726625577074725,1.0,39.0,24.0,1.0,0.0
2020-03-13,ME,11,1.2437404613363596,1.2405623397359986,1.1195853062147754,1.3518547561277892,26.09559183065383,13.725889391445337,4.345325115414945,2.0,25.0,28.0,2.0,0.0
2020-03-14,ME,12,1.2273996040937205,1.2220986227012995,1.1251551973470455,1.3500730035429471,27.33179756561106,15.57519954884522,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,ME,13,1.2124383195634278,1.208136413918896,1.1141576478018258,1.3243109159142394,28.557670090941645,16.522798599431475,0.0,0.0,0.0,0.0,0.0,0.0
